accreditor,public_table_strategy,public_action_family,row_count
Accrediting Bureau of Health Education Schools,drop_from_public_table,withdrawal_or_loss,1
Accrediting Commission of Career Schools and Colleges,drop_from_public_table,monitoring_or_notice,4
Accrediting Commission of Career Schools and Colleges,drop_from_public_table,removed,2
Accrediting Commission of Career Schools and Colleges,drop_from_public_table,withdrawal_or_loss,3
Accrediting Council for Independent Colleges and Schools,drop_from_public_table,monitoring_or_notice,2
Accrediting Council for Independent Colleges and Schools,drop_from_public_table,removed,2
Accrediting Council for Independent Colleges and Schools,drop_from_public_table,show_cause,6
Accrediting Council for Independent Colleges and Schools,drop_from_public_table,warning,5
Accrediting Council for Independent Colleges and Schools,drop_from_public_table,withdrawal_or_loss,6
"Association for Biblical Higher Education, Commission on Accreditation",drop_from_public_table,monitoring_or_notice,6
"Association for Biblical Higher Education, Commission on Accreditation",drop_from_public_table,probation,5
"Association for Biblical Higher Education, Commission on Accreditation",drop_from_public_table,removed,2
"Association for Biblical Higher Education, Commission on Accreditation",drop_from_public_table,show_cause,2
"Association for Biblical Higher Education, Commission on Accreditation",drop_from_public_table,warning,2
"Association for Biblical Higher Education, Commission on Accreditation",drop_from_public_table,withdrawal_or_loss,5
"Association of Advanced Rabbinical and Talmudic Schools, Accreditation Commission",drop_from_public_table,withdrawal_or_loss,2
Association of Institutions of Jewish Studies,drop_from_public_table,withdrawal_or_loss,5
Commission on Accrediting of the Association of Theological Schools,drop_from_public_table,removed,1
Commission on Accrediting of the Association of Theological Schools,drop_from_public_table,warning,1
Distance Education Accrediting Commission,drop_from_public_table,removed,2
Distance Education Accrediting Commission,drop_from_public_table,show_cause,6
Distance Education Accrediting Commission,drop_from_public_table,withdrawal_or_loss,1
HLC,dapip_backed_keep,monitoring_or_notice,1
HLC,dapip_backed_keep,probation,11
HLC,dapip_backed_keep,removed,19
HLC,dapip_backed_keep,warning,5
HLC,dapip_backed_keep,withdrawal_or_loss,1
HLC,drop_from_public_table,institutional_change_or_closure,12
HLC,drop_from_public_table,monitoring_or_notice,14
HLC,drop_from_public_table,other,2260
HLC,hybrid_keep,withdrawal_or_loss,2
HLC,scraper_backed_keep,adverse_action_other,11
HLC,scraper_backed_keep,institutional_change_or_closure,46
HLC,scraper_backed_keep,other,13
HLC,scraper_backed_keep,probation,11
HLC,scraper_backed_keep,removed,11
HLC,scraper_backed_keep,withdrawal_or_loss,58
MSCHE,dapip_backed_keep,probation,5
MSCHE,dapip_backed_keep,removed,18
MSCHE,dapip_backed_keep,show_cause,7
MSCHE,dapip_backed_keep,warning,28
MSCHE,dapip_backed_keep,withdrawal_or_loss,15
MSCHE,drop_from_public_table,adverse_action_other,351
MSCHE,drop_from_public_table,institutional_change_or_closure,145
MSCHE,drop_from_public_table,monitoring_or_notice,7
MSCHE,drop_from_public_table,other,3392
MSCHE,drop_from_public_table,probation,101
MSCHE,drop_from_public_table,show_cause,30
MSCHE,drop_from_public_table,warning,315
MSCHE,drop_from_public_table,withdrawal_or_loss,104
MSCHE,scraper_backed_keep,adverse_action_other,2
MSCHE,scraper_backed_keep,institutional_change_or_closure,21
MSCHE,scraper_backed_keep,other,2
MSCHE,scraper_backed_keep,show_cause,18
MSCHE,scraper_backed_keep,warning,2
MSCHE,scraper_backed_keep,withdrawal_or_loss,40
NECHE,dapip_backed_keep,monitoring_or_notice,4
NECHE,dapip_backed_keep,probation,1
NECHE,dapip_backed_keep,removed,1
NECHE,dapip_backed_keep,show_cause,1
NECHE,dapip_backed_keep,withdrawal_or_loss,5
NECHE,drop_from_public_table,monitoring_or_notice,5
NECHE,hybrid_keep,monitoring_or_notice,1
NECHE,hybrid_keep,withdrawal_or_loss,1
NECHE,scraper_backed_keep,adverse_action_other,1
NECHE,scraper_backed_keep,institutional_change_or_closure,1
NECHE,scraper_backed_keep,monitoring_or_notice,6
NECHE,scraper_backed_keep,probation,2
NECHE,scraper_backed_keep,show_cause,8
NECHE,scraper_backed_keep,withdrawal_or_loss,9
NWCCU,dapip_backed_keep,removed,2
NWCCU,dapip_backed_keep,show_cause,1
NWCCU,dapip_backed_keep,warning,3
NWCCU,scraper_backed_keep,warning,1
"National Association of Schools of Art and Design, Commission on Accreditation",drop_from_public_table,withdrawal_or_loss,15
"National Association of Schools of Music, Commission on Accreditation",drop_from_public_table,withdrawal_or_loss,4
"New York State Board of Regents, and the Commissioner of Education",drop_from_public_table,monitoring_or_notice,3
SACSCOC,dapip_backed_keep,monitoring_or_notice,119
SACSCOC,dapip_backed_keep,probation,17
SACSCOC,dapip_backed_keep,removed,105
SACSCOC,dapip_backed_keep,show_cause,19
SACSCOC,dapip_backed_keep,warning,43
SACSCOC,dapip_backed_keep,withdrawal_or_loss,6
SACSCOC,drop_from_public_table,monitoring_or_notice,581
SACSCOC,drop_from_public_table,other,6
SACSCOC,drop_from_public_table,removed,13
