accreditor,public_table_strategy,row_count
Accrediting Bureau of Health Education Schools,drop_from_public_table,1
Accrediting Commission of Career Schools and Colleges,drop_from_public_table,9
Accrediting Council for Independent Colleges and Schools,drop_from_public_table,21
"Association for Biblical Higher Education, Commission on Accreditation",drop_from_public_table,22
"Association of Advanced Rabbinical and Talmudic Schools, Accreditation Commission",drop_from_public_table,2
Association of Institutions of Jewish Studies,drop_from_public_table,5
Commission on Accrediting of the Association of Theological Schools,drop_from_public_table,2
Distance Education Accrediting Commission,drop_from_public_table,9
HLC,dapip_backed_keep,37
HLC,drop_from_public_table,2286
HLC,hybrid_keep,2
HLC,scraper_backed_keep,150
MSCHE,dapip_backed_keep,73
MSCHE,drop_from_public_table,4445
MSCHE,scraper_backed_keep,85
NECHE,dapip_backed_keep,12
NECHE,drop_from_public_table,5
NECHE,hybrid_keep,2
NECHE,scraper_backed_keep,27
NWCCU,dapip_backed_keep,6
NWCCU,scraper_backed_keep,1
"National Association of Schools of Art and Design, Commission on Accreditation",drop_from_public_table,15
"National Association of Schools of Music, Commission on Accreditation",drop_from_public_table,4
"New York State Board of Regents, and the Commissioner of Education",drop_from_public_table,3
SACSCOC,dapip_backed_keep,309
SACSCOC,drop_from_public_table,602
SACSCOC,hybrid_keep,39
SACSCOC,scraper_backed_keep,46
"Transnational Association of Christian Colleges and Schools, Accreditation Commission",drop_from_public_table,12
WSCUC,dapip_backed_keep,48
WSCUC,drop_from_public_table,9
WSCUC,hybrid_keep,2
WSCUC,scraper_backed_keep,17
